Contact Person,Designation,Organization,LinkedIn Profile
 Sumesh Chettri,Co founder,Heal Bridge Pvt Ltd,https://in.linkedin.com/in/sumesh-chettri-8332481bb
 Sakshie Rastogi,Co-Founder & CEO,Healium Futuristics Private Limited,https://in.linkedin.com/in/sakshie
 Kashyap Thakkar,Director,Healthismplus Technologies Pvt Ltd,https://in.linkedin.com/in/kashyapkthakkar
 Dimple Ganatra,Dimple Ganatra,Healthygrabz Foods Private limited,https://in.linkedin.com/in/dimple-ganatra-a91b75121
 Varun Khandelwal,CEO,Healyantra Healthcare Innovations Pvt Ltd,https://in.linkedin.com/in/varun-khandelwal-4150a115
 Vedant Bhasin,Chief of Staff,Hecta Proptech,https://in.linkedin.com/in/vedant-bhasin-76a14620a
 Nikhilesh Tiwari,Director,Helical IT Solutions Private Limited,https://in.linkedin.com/in/nikitiwari
 AMAN KUMAR,CO-FOUNDER,HelloCFO,https://in.linkedin.com/in/aman-kumar-28bbb43a
 Hemang Kumar Jayant,Founding Director and CEO,HEM Dimensions Private Limited,https://in.linkedin.com/in/hemang-jayant-00329538
 Nirav Kikani,Director,HerbalDreams Seeds & Biotech OPC Pvt Ltd,https://in.linkedin.com/in/nirav-kikani-36890316
 Deepinder Singh,"Director, Herbovive Private Limited",Herbovive Private Limited,Not found
 Sachin Aggarwal,Sachin Aggarwal,Herdsman Development Private Limited,https://in.linkedin.com/in/sachinagg
 Smrithi Natanasubramanian,Director,HerSukh Wellness Private Limited,https://in.linkedin.com/in/smrithi-natanasubramanian-a15292226
 Sowmya R S,Director,Hertes Food Products Private Limited,https://in.linkedin.com/in/sowmya-r-s-b2a51429
 Sathish Kumar,"CEO, Founder",HertzAI Private Limited,https://in.linkedin.com/in/sathish-kumar-63848633
 Mandip Sethi,Mandip Singh Sethi,Heyoo! Community and Meetups,https://in.linkedin.com/in/mandip-singh-031960100
 Rishabh Bhatia,Rishabh Bhatia,HighNest Sustainable Design Private Limited,https://in.linkedin.com/in/iamrishibhatia
 RAJESH GHATANATTI,FOUNDER AND CEO,Highway Delite,https://in.linkedin.com/in/rajeshg18
 Kirti Singh,kirti singh,Himaalayaan Ved,https://in.linkedin.com/in/kirti-singh-a7a578329
 Saurabh Pant,Ditector,Himfla,https://in.linkedin.com/in/saurabh-pant-3b78061a8
 HEMARAM CHOUDHARY,Director,HINGLAJ TRANSPORT SOLUTION PRIVATE LIMITED,https://in.linkedin.com/in/hemaram-choudhary-186a5a81
 Piyush Raj Akhouri,Co Founder,HirePlusPlus Technologies Private Limited,https://in.linkedin.com/in/piyushraj1
 Rohit Yadav,Chief Technology Officer,Hirestar.io,https://in.linkedin.com/in/rohii-yadav
 HITESH MITTAL,DIRECTOR,HITESH ENVIRO ENGINEERS PVT LTD,https://in.linkedin.com/in/hitesh-mittal-956b7a51
Prof. HARJEET NATH,FOUNDER,HN TECHNOVATIONS LLP,https://in.linkedin.com/in/harjeet-nath-82340147
 Prachi Gupta,Director HR,HNNOIX India Pvt Ltd,https://in.linkedin.com/in/prachi-gupta-8786048
 GEETHA M,SALEESH KUMAR,HOPEINHOE,https://in.linkedin.com/in/geetha-m-24849148
 Aabid Hussain,Aabid Hussain,Hostelbird Coliving OTA Private Limited,https://in.linkedin.com/in/aabid-hussain-2509b0a4
 NINNA LEGO,DIRECTOR,House of Macnok Private Limited,https://in.linkedin.com/in/ninna-lego-64008211a
 Prakash Sharma,CEO,Hubalt Venture Private Limited,https://in.linkedin.com/in/prakash-sharma-7223b02b3
 Tuba Siddiqui,Founder Director,Humany Eco Innovations Pvt Ltd,https://in.linkedin.com/in/tuba20
 Ankur Jaiswal,Ankur Jaiswal,Humors Tech,https://in.linkedin.com/in/imankurj
 Surasit Sachdev,CEO,Hungry Hub,Not found
 Raj Kumar Narang,Co-Founder and CEO,Hunt Vastu Homes Pvt. Ltd.,https://in.linkedin.com/in/rajnarang
 Shesheer kumar Munpally,Managing Director,Huwel Lifesciences Pvt. Ltd,https://in.linkedin.com/in/shesheer-kumar-2958267
 Anbarasan V,Director,Hva chemical solution private limited,https://in.linkedin.com/in/hvanbarasan
 Aakanksha Varude,Director,HWO MEDIA PVT. LTD.,https://in.linkedin.com/in/vikas-varude-2658b211b
 Mohit Samtani,Head of Operations,Hylenr Technologies Pvt. Ltd.,https://in.linkedin.com/in/moheet-samtani-opsman
 Divyanshu Mandowara,COO,Hyprix Aviation,https://in.linkedin.com/in/divyanshu-mandowara
 Goutam Naik,Business Lead,Hyspace Technologies Private Limited,https://in.linkedin.com/in/naikgoutam
 Shubham Jain,Director,I H SOLUTION PRIVATE LIMITED,https://in.linkedin.com/in/shubham-jain-01980111a
 Sanat Bhat,Founder,iBind Systems Private Limited,https://in.linkedin.com/in/sanat-bhat-1238a4297
 Aditya Singh,CEO,IBOTIX LLP,https://in.linkedin.com/in/aditya-singh-253794165
 Deepak Bhardwaj,Director,IC Fitness Club Education Private Limited,https://in.linkedin.com/in/deepak-bhardwaj-icfitnessclub
 MAYANK GUPTA,DIRECTOR,IDA AGRO PRODUCTS LLP,https://in.linkedin.com/in/mayank-gupta-0623235b
 GAUTHAM PALANISWAMY,CHIEF EXECUTIVE OFFICER,IDAMUMAI TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/gauthampalaniswamy
 Surbhi Sankhla,Co-Founder & Director,Ideaforage Innovations Private Limited,https://in.linkedin.com/in/surbhi-sankhla
 Sanniv Khare,Director,Ideaxecution Technologies,https://in.linkedin.com/in/sanniv
 Abhijeet Bhoyar,Director,Idt Innovation Technologies Private Limited,https://in.linkedin.com/in/abhijeet-bhoyar-977832120
 Avishek Agarwal,CEO,IfanFlex Pvt Ltd,https://in.linkedin.com/in/avishek-agarwal-a36b9129
 Aman Singh Solanki,Director,Igoko Avionics Solutions Private limited,Not found
 Kushal Pareek,Incubation Manager,IIHMR Startups,https://in.linkedin.com/in/dr-kushal-pareek-3b940b11a
 Shreyansh Jain,Founder,IIOT INNOVATION PVT LTD.,https://in.linkedin.com/in/shrynshjn
 VIPASHA SHAH,DESGINATED PARTNER,IKOVERK STUDIOS LLP,https://in.linkedin.com/in/vipasha-shah-5370b7349
 Firdaus Khan,CEO,IMFOT INDIA PRIVATE LIMITED,https://in.linkedin.com/in/firdaus-khan-8ab0a7268
 Prakash P V,Founder CEO,IMMERSIVE SKILLS ACADEMY PRIVATE LIMITED,https://in.linkedin.com/in/prakashpv
 Pavan Gupta,Growth Manager,IMMVERSE INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/pavan-gupta
 RAGHAV JAIPURIA,CEO,IMPARO EDUTECH PVT LTD,https://in.linkedin.com/in/bhargavi-upadhyaya
 ARNAB GUHA,Founder,IMPECCABLE INNOVATIONS PVT LTD,https://in.linkedin.com/in/arnab-guha-gluten-free
 Pradeep Lamba,Director,Impresso Management Services Private Limited,https://in.linkedin.com/in/pradeeplamba1000
 Polin Srivastava,FOUNDER,INARA HOME PVT LTD,https://in.linkedin.com/in/polin-srivastava-5550631a8
 Captain Abhijit Bhutey,abhijit bhutey,Inbound Aerospace,https://in.linkedin.com/in/abhijit2002
 Urja Sureka,Business Development & Customer Success Lead,Inclusive Recycling Foundation - E[co]work,https://in.linkedin.com/in/urja-sureka-8410aa198
 ARPIT KRISHAN,MANAGING DIRECTOR,INDEVILLE DESIGN STUDIO PVT LTD,Not found
 Utkarsh Jyotishi,7987051347,InDhan PayGate Private Limited,Not found
 Tripurari Sharan,VP - Business Development,Indiazona,https://in.linkedin.com/in/tripurari-sharan-775165263
 Sunil Jalihal,Founder & CEO,Indic Inspirations India Pvt Ltd,Not found
 Priyanka Srivastava,INDIEHAAT FASHION PRIVATE LIMITED,Indiehaat Fashion Private Limited,https://in.linkedin.com/in/dr-priyanka-srivastava-805ba82ba
 Nikul Shah,Nikul Shah,Indiesemic Private Limited,https://in.linkedin.com/in/nikul-shah-53379183
 Aman Bhargava,Director - Marketing,Indifi Technologies,https://in.linkedin.com/in/aman-bhargava-0a635253
 Satendra Singh,Founder & CEO,INDIGOTEX PRIVATE LIMITED,https://in.linkedin.com/in/satendra-singh-md-92bb8132
 Hardik Dave,Founder,INDIKA AI PRIVATE LIMITED,https://in.linkedin.com/in/hardikd
Prof. Gourab Chatterjee,Founder Director & CEO,Indole agro & Foods Pvt. Ltd.,https://in.linkedin.com/in/gourab-chatterjee-3648092a
 Vineet Mankar,Associate Business Development,Indra,https://in.linkedin.com/in/vineet-mankar-01034939
 Vivek Gupta,Founder & CEO,Indus AI Pvt Ltd,https://in.linkedin.com/in/vivek-gupta-6b065126
 Srishti Srivastava,CEO and Founder,Infiheal Healthtech Private Limited,https://in.linkedin.com/in/srishti-srivastava139
 Prajwal Paranjape,Business Analyst,Infokalash Private Limited,https://in.linkedin.com/in/prajwal-paranjape
 DIKSHA MISHRA,Founder,INITI8NOW,https://in.linkedin.com/in/diksha-mishra-b84088296
 Ambika Deo,Director,Ink.Company Fashion Apparels Pvt Ltd.,https://in.linkedin.com/in/ambika-deo-470b7729
 Saurabh Mathur,DGM Marketing,Innefu Labs,https://in.linkedin.com/in/smathur1987
 Hiteshwar Singh,Co-Founder & CEO,InnerKraft Health Pvt Ltd,https://in.linkedin.com/in/hiteshwarsingh
 Suman Chopra,Founder,Innobox Solutions,https://in.linkedin.com/in/suman-chopra-1b109631
 Alan Sindhu Dinsha,Managing Director & CEO,Innodots Innovations Pvt Ltd,https://in.linkedin.com/in/alan-sindhu-dinsha-703a06190
 Prakash Adabala,CEO,Innoit Labs Private Limited,https://in.linkedin.com/in/prakash-adabala-developer
 BHAUTIK PIPALIYA,BHAUTIK PIPALIYA,INNOVATE DREAM REALLY PRIVATE LIMITED,https://www.linkedin.com/in/bhautik-pipaliya
 SRISHTI SHARMA,SRISHTI SHARMA,Innovationsatss PVT Ltd,https://in.linkedin.com/in/dr-srishti-sharma-469983135
 Sri Kumar,Managing Director,Innovus Hub Private Limited,https://in.linkedin.com/in/sri-kumar-satapathy-212a8114a
 Shashank Shukla,Co-founder,INNOWHIZ ELECTRIC TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/shashank-shukla09
 Mithun Anand,Co-founder and CTO,Innpact Solutions,https://in.linkedin.com/in/mithun-anand
 Hitesh Goyal,Founder,Inoresp Industries Private Limited,https://in.linkedin.com/in/hiteshgoyalinoresp
 Rohan Tripathi,Director,Inovocare Healthsoft Solutions Pvt. Ltd.,Not found
 NIKITA NATH,HEAD OF INVESTOR RELATIONS AND COUNSELING,INSIGHTE CHILDCARE PRIVATE LIMITED,https://in.linkedin.com/in/nikita-nath-79647816b
 Samyak Shah,Managing Director,Instaclaus Fintech Private Limited,https://in.linkedin.com/in/samyak-asit-shah-4994171b9
 Raji M,Co-Founder & CEO,InstaFinancials,https://in.linkedin.com/in/mrajimba
 Deepanshu Goel,Director,Installco Wify Technology Pvt Ltd,https://in.linkedin.com/in/deepanshugoel
 Jahnavi ROY,jahnavi ROY,INSUBUILD SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/jahnavi-roy-06b027169
 SONIA MADAN,FOUNDER & DIRECTOR,INTE-E-LABS PRIVATE LIMITED,https://in.linkedin.com/in/sonia-madan-3b686015
 Daisy Nguyen,A Business Development Representative - South & West India,INTECH Group,https://vn.linkedin.com/in/daisy-nguyen-a03968211
 Gaurav Tyagi,Gaurav Tyagi,Integerspin Private Limited,https://in.linkedin.com/in/gaurav-tyagi-b562a926
 Anuj Goyal,cofounder and CTO,Intellicloud Solutions Private Limited,https://in.linkedin.com/in/anuj-goyal-b49214b
 SOUMYA TRIPATHI,CFO,Intellinez Systems Pvt Ltd,https://in.linkedin.com/in/soumya-tripathi-83b13b23
 Bhutesh Niroula,Co-founder & CEO,Interioverse Design Pvt Ltd,https://in.linkedin.com/in/bhutesh-niroula-0958b085
 Piyush Pandey,Founder & CTO,InternNexus,Not found
 Varun Marothia,CEO,Intrvuz,https://in.linkedin.com/in/varun-marothia-791247347
 Akshay Aggarwal,Founder,INTUTE-AI technologies (OPC) Pvt ltd,https://in.linkedin.com/in/akshayaggarwal08
 Yogesh Mathur,CEO,InventreeFY Solutions Pvt. Ltd,https://in.linkedin.com/in/yogeshmathurjod
 JAINENDRA JAIN,DIRECTOR,INVIGORATE BIOTECHNOLOGIES LLP,https://in.linkedin.com/in/invigorate-biotechnologies-9b7368264
 Vikrant Panwar,General Manager,INVIGORATE BIOTECHNOLOGIES LLP (Start up Punjab),https://in.linkedin.com/in/vikrant-panwarindia008
 Manya Mahawer,Director,iota craft pvt Ltd,https://in.linkedin.com/in/manyamahawer
 Vikram Singh,Vikram Singh,iotina technologies pvt ltd,https://in.linkedin.com/in/vikram-singh-66253133
 SUCHIN JAIN,SUCHIN JAIN,iPanelKlean Solar Private Limited,https://in.linkedin.com/in/suchinjain
 Vikram Belkhode,Director and CEO IRA Medical technology pvt. Ltd,IRA MEDICAL TECHNOLOGY PRIVATE LIMITED,Not found
 Nikhil Saini,Nikhil Saini,Iris Aerial Innovations Pvt Ltd,https://in.linkedin.com/in/nikhil-saini-6bba09121
 Eobin George,CEO,Is Going Online,https://ca.linkedin.com/in/eobin
 Laxmi Preeti Gaddam,Co Founder & CEO,Isaayu Agritech Pvt Ltd,https://in.linkedin.com/in/glpreeti
 Vaibhav Pathak,Chief Technology Officer,iTDAY,https://in.linkedin.com/in/vkpdeveloper
 Chetan Wagh,Co-founder - CEO & CDO,iTechSeed India Growth Ventures Pvt. Ltd.,https://in.linkedin.com/in/waghchetan86
 Shalendra B Sinha,Founder & Director,ITX Care Private Limited,https://in.linkedin.com/in/sinha-shalendra-b8260746
 Jyotsana Saini,Director,iWebro codeworld pvt ltd,https://in.linkedin.com/in/jyotsana-saini
 Shraddha Agarwal,CEO,Izzki Tech Solutions Pvt. Ltd.,https://in.linkedin.com/in/shraddha-agarwal-8890b611
 Vishal Pachaar,Director,JAGDEV ORGANICS PVT LTD,https://in.linkedin.com/in/suya-zhang361320
 Jitendra Luniya,Partner,Jainam Software LLP,https://in.linkedin.com/in/jitendra-luniya-1571042ba
 PUNEET MOHAN,PUNEET MOHAN,JAISHREE RAM MOBILITY AND TECHNOLOGIES PVT LTD,https://in.linkedin.com/in/puneetmohan
 Navya Mistry,Youth Research,Jalchakra Innovations LLP,https://in.linkedin.com/in/navya-mistry-65a378317
 Rajat Sharma,Advisor,Jalmay Innovative O2 Solution Pvt Ltd,https://in.linkedin.com/in/rajatsharmajalmay
 Asif Khair,Asif Khair,Jan Elaaj Wellness Pvt Ltd,https://in.linkedin.com/in/asif-khair-961a4210b
 Pankaj Sarda,Founder Partner,JEEVANSARTHI ECOSYSTEM ORCHESTRATORS & MENTORS LLP,https://in.linkedin.com/in/pankaj-sarda-jeevansarthi
 A R Manikandan,Founder,JIETHS AGRO,https://in.linkedin.com/in/manikandan-a-r-63334a11
 SUMAN JHA,CEO,Jilo Health (Jilocosmos Healthrevolution Pvt Ltd),https://in.linkedin.com/in/sumanjha
 Isha Oswal,CEO,JISA Softech Private Limited,https://in.linkedin.com/in/mahesh-lode
 Jitesh Khandelwal,jitesh khandelwal,jitesh khandelwal,https://in.linkedin.com/in/jitesh-khandelwal-011220145
 Dharitri Patnaik,Founder and Managing Director,Jivada Ventures Pvt Ltd,Not found
 Jiyaulhaq Haq,Founder,JIYAXO G TECHNO PVT.LTD,https://in.linkedin.com/in/jiyaul-haq-483650290
 Rudhi Arora,Marketing & Investor Relations Manager,JJ Fintax Solutions Private Limited,https://in.linkedin.com/in/rudhi-n-arora-11695a203
 Jaideep Kohli,Jaideep Kohli,JK SKINS & SHOES SOLUTIONS PVT LTD,https://in.linkedin.com/in/jksss
 Gurpreet Singh Batra,Director,JKB Fitness Pvt Ltd,https://in.linkedin.com/in/gurpreet-singh-batra-878763175
 Yogesh Patel,CFO,JLSR WELLNESS PRIVATE LIMITED,https://in.linkedin.com/in/yogesh-patel-a540a1194
 Atul Pratap Singh,Co-Founder,Jobsgaar Technologies Pvt. Ltd.,https://in.linkedin.com/in/atulpratapsingh
 Aman Goyal,Founder & CTO,jobSphere Tech,https://in.linkedin.com/in/amangoyal04
 Joyce Ahuja,CEO and Founder,Joyce Creative Studios private limited,https://in.linkedin.com/in/joyce-ahuja-48a4481b8
 Bharat Khetan,Co-Founder,Joyful Life Private Limited,https://in.linkedin.com/in/bharatkhetan
 Aakriti Chaudhary,Co-Founder & COO,Just Learn (Just Rojgar Solutions Pvt. Ltd.),https://in.linkedin.com/in/aakriti-chaudhary-92595a21
 Sharadchandra Lohokare,CEO,JyoSH AI Solutions Pvt. Ltd.,https://in.linkedin.com/in/dr-sharadchandra-lohokare-66a005b
 Solomon Chant,Remote Sensing Manager,Kahuto Investments Pte Ltd,https://sb.linkedin.com/in/solomon-chant-998336217
 Deepak Kumar,Deepak Kumar,Kailash upchar private limited,https://in.linkedin.com/in/deepak-kailash
 Kailashnath GV,Managing Director,Kailashnath GV,https://in.linkedin.com/in/abhay-khanna-a7332346
 Tanishq Upmanu,CEO and Founder,Kaizel Industries,https://in.linkedin.com/in/tanishq-upmanu-810886192
 Kajal Rajbhar,CEO,Kajal Rajbhar,https://in.linkedin.com/in/kajal-rajbhar-a2088b1b1
 Astha Manroa,Director,Kala-kul Eco International Private Limited,https://in.linkedin.com/in/kakuleco
 Charanjit Singh,Director,Kalra Inno Tech Pvt Ltd,https://in.linkedin.com/in/dr-charanjit-singh-kalra-78a009101
 YASH FOUNDER/CEO,FOUNDER/CEO,Kalrascape.we PVT LTD,https://in.linkedin.com/in/yashkalra98
 Rebeka Nongrum,Founder,Kamailang Weaver,https://in.linkedin.com/in/rebecca-nongrum-3485a5319
 NKM Tech Solutions,NKM Tech Solutions,Kamal Tripathi,https://in.linkedin.com/in/kamaltripathi
 Amit Kumar,operation,Kamti Technologies Private Limited,https://in.linkedin.com/in/amit-kumar-30797a155
 Kangkon Saikia,Director,Kangkon Saikia,https://in.linkedin.com/in/kangkon-saikia
 Nishtha Shukla,Founder,Kannauj Itra Private limited,https://in.linkedin.com/in/nishtha--shukla
 Nishant Agarwal,Founder & CEO,Kapeefit Health Brand Private Limited,https://in.linkedin.com/in/nishant-agarwal-63b6631aa
 TARAKESWARI POLAKI,FOUNDER & DIRECTOR,KAPITI OVERSEAS PRIVATE LIMITED,Not found
 Udit Agarwal,CEO,Kaptune Media India Private Limited - TrackOlap,https://in.linkedin.com/in/actolap
 Nitimaan Mathur,Nitimaan Mathur,Kapxha Dynamics,https://in.linkedin.com/in/nitimaan-mathur-2b7295203
 Suresh J,Chief Technology Officer,Kariot Solutions Private Limited,https://in.linkedin.com/in/j-suresh
 Anil chand Panda,CEO/Director,Kaviz Creations Pvt ltd,https://in.linkedin.com/in/anil-chand-1521b11b
 ARJUN BAJWA,Founder & CTO,KBCols Sciences Pvt. Ltd.,https://in.linkedin.com/in/arjun-singh-bajwa-925970272
 Keralina Marak,Founder,Keralina,https://www.linkedin.com/in/karolina-marek-313479180
 Sitaram Komaragiri,Co Founder,Khadyam Speciality Foods Private Limited,https://in.linkedin.com/in/sitaram-komaragiri-490217183
 Ritvik Yadav,Founder,Khageshvara Aviation Technology Private Limited,https://in.linkedin.com/in/ritvik-yadav-771901171
 Ritvik Yadav,Founder & CEO,Khageshvara Aviation Technology Pvt.Ltd,https://in.linkedin.com/in/ritvik-yadav-771901171
 Satya Mehta,CEO,Khanepe Hungermall LLP,https://in.linkedin.com/in/satyacmehta
 Shashwat Awasthi,Business Development Head,Kheoni Ventures Pvt. Ltd,https://in.linkedin.com/in/shashwat-awasthi
 Sujan Karki,Logistics Assistant,Khetipati Organics,https://in.linkedin.com/in/sujan-karki-310a622ba
 Gautam Dhakad,Director,Khushi Agro Private Limited,https://in.linkedin.com/in/gautam-dhakad
 Dheeraj Kumar,Dheeraj Kumar,Kidochef,https://in.linkedin.com/in/dheeraj-kumar-0bb265264
 Kavita Negi,CEO,KIMALAYA NATURALS PRIVATE LIMITED,https://in.linkedin.com/in/dr-kavita-negi-b436a568
 VAISHALI PURI,DIRECTOR,KISAANSAY AGTECH PRIVATE LIMITED,https://in.linkedin.com/in/vaishali-puri-84519a88
 Chhotu Kumar,Director,Kisantech ERP Solutions PVT LTD,https://in.linkedin.com/in/chhotu-kumar-18a7a4290
 Amit Manore,Chief Executive Officer,KIT Intellect Technologies Private limited,https://in.linkedin.com/in/amit-manore-a143a719
 Sandeep Kondaji,CEO,KLONEC AUTOMATION SYSTEMS PRIVATE LIMITED,Not found
 Kunal Kabra,Founder and CEO,KLOSUREQUEST TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/kunalkkabra
 Vinay Kumar Kolusu,CEO,KLVIN Technology Labs Private Limited,Not found
 Rajib Chakraborty,Board member,KMN Environmental Impact Pvt Ltd,https://in.linkedin.com/in/rajib-chakraborty-9bb5601
 Harsh Jain,CEO,Knitnexus Tech Private Limited,https://in.linkedin.com/in/harshjain5291
 Varun Chintha,CEO,Kode Blue Technologies,https://in.linkedin.com/in/varun-chintha-b46674103
 Sai Krishna Reddy Gudimetla,Cofounder,Kofuku Idea Labs Private Limited,https://in.linkedin.com/in/gudimetla
 Ankita Singh,Lead AI Agent Store,Kogo AI,https://in.linkedin.com/in/ankita-singh-0510
 Harsh Mehta,Co-Founder,KOKOPO Foods,https://www.linkedin.com/in/harsh-mehta-3a8abb32
 PALANISAMY Shanmugan,Shanmugan,Konform Equipments private Limited,https://in.linkedin.com/in/shanmugan-p-625a2766
 Rajeshwar Dhavala,COO,Konkuwan Herbs,https://in.linkedin.com/in/rajeshwar-dhavala-2632601b5
 DEEPMALA KUMARI,DEEPMALA KUMARI,KONNICHIWA POLY PVT LTD,https://in.linkedin.com/in/deepmala-250892
 Shreyansh Chauhan,Shreyansh Chauhan,Kosher Organics Private LImited,https://in.linkedin.com/in/shreyanshchauhan
 Ramesh Kotyada,Founder,KOTTEE CYCLES PRIVATE LIMITED,https://in.linkedin.com/in/ramesh-kotyada-3575a9168
 Pratik Loya,CEO,Kraya Concepts Private Limited,https://www.linkedin.com/in/pratik-loya-735394100
 Siddharth Panda,CEO,Kre38 Labs,https://in.linkedin.com/in/panda-siddharth
 Amiya Mishra,Founder,KRENG EDUCATION PVT LTD,https://in.linkedin.com/in/amiyamishra
 Himanshu Gupta,COO & Co -Founder,Kreo,https://www.linkedin.com/in/himanshu-gupta-83477a17
 DEEPANSHU DANGRE,FOUNDER CEO,KRIP SCHOOL PRIVATE LIMITIED,https://in.linkedin.com/in/ddangre18
 Krishna Priya Akella,Founder,Krisattva Private Limited,https://in.linkedin.com/in/krishna-akella-a6664996
 Krishna Bhadra,Founder,Krishna Bhadra,https://in.linkedin.com/in/krishnabhadra
 Suresh Vijay,suresh vijay,Krishna Padam IT Solutions Private Limited,https://in.linkedin.com/in/vijay-suresh-9377936
 Jitendra Sharma,Jitendra Sharma,Krisoriginals private limited,https://in.linkedin.com/in/jitendra-sharma-156897b
 Namrata Jayant VORA,Namrata Jayant VORA,Krushal Open Commerce,https://in.linkedin.com/in/namrata-vora-7236568a
 Hitesh Kaneriya,Founder,Kuberjee Tech Pvt Ltd,https://in.linkedin.com/in/hiteshkaneriya
 KULDEEP PATEL,CEO,KULDEEP PATEL,https://in.linkedin.com/in/kuldeep-patel-6977881a5
